"","ID","nLoans","Number_of_Loan","Start","Paid","Duration"
"365",4540051772,9,9,2015-08-13,NA,NA
"366",4540783923,2,2,2015-08-16,NA,NA
"367",4552401360,1,1,2014-06-11,NA,NA
"368",4572113844,2,2,2015-08-03,NA,NA
"369",4581264233,1,1,2015-04-02,NA,NA
"370",4587521056,4,4,2015-08-13,NA,NA
"371",4609303188,8,8,2015-08-01,NA,NA
"372",4613150895,4,4,2015-08-17,NA,NA
"373",4645275853,3,3,2015-05-12,NA,NA
"374",4646477741,2,2,2015-05-01,NA,NA
"375",4650748452,4,4,2015-08-19,NA,NA
"376",4652588050,12,12,2015-08-15,NA,NA
"377",4656062708,21,21,2015-08-05,NA,NA
"378",4656510627,1,1,2015-03-29,NA,NA
"379",4664935120,3,3,2015-08-01,NA,NA
"380",4702513294,1,1,2015-07-28,NA,NA
"381",4712104880,1,1,2015-06-24,NA,NA
"382",4716039696,3,3,2015-08-11,NA,NA
"383",4732601069,3,3,2015-05-28,NA,NA
"384",4733088866,2,2,2015-07-30,NA,NA
"385",4738098277,11,11,2015-08-05,NA,NA
"386",4740365226,5,5,2015-05-27,NA,NA
"387",4756053552,2,2,2015-08-14,NA,NA
"388",4785949170,2,2,2015-08-18,NA,NA
"389",4792563816,2,2,2015-06-09,NA,NA
"390",4792942529,6,6,2015-07-24,NA,NA
"391",4811992520,1,1,2015-03-19,NA,NA
"392",4847988237,4,4,2015-06-30,NA,NA
"393",4850039402,4,4,2015-04-27,NA,NA
"394",4869342318,2,2,2015-08-12,NA,NA
"395",4881579468,1,1,2015-05-07,NA,NA
"396",4883396224,2,2,2015-08-15,NA,NA
"397",4883399518,2,2,2015-04-03,NA,NA
"398",4883971352,4,4,2015-07-01,NA,NA
"399",4884216169,2,2,2015-04-09,NA,NA
"400",4899445636,8,8,2015-06-25,NA,NA
"401",4901712280,1,1,2015-03-19,NA,NA
"402",4906074010,2,2,2015-07-16,NA,NA
"403",4908096316,4,4,2015-07-27,NA,NA
"404",4943128258,1,1,2014-08-18,NA,NA
"405",4949206686,3,3,2015-04-20,NA,NA
"406",4950043625,1,1,2014-07-21,NA,NA
"407",4951166708,5,5,2015-07-22,NA,NA
"408",4954349033,1,1,2015-07-23,NA,NA
"409",4966440067,1,1,2014-07-28,NA,NA
"410",4974853726,5,5,2015-08-08,NA,NA
"411",4991604311,2,2,2015-07-12,NA,NA
"412",5004213430,2,2,2015-08-11,NA,NA
"413",5018829972,2,2,2015-04-09,NA,NA
"414",5048210603,1,1,2015-02-28,NA,NA
"415",5051613304,1,1,2015-06-19,NA,NA
"416",5064137410,6,6,2015-06-17,NA,NA
"417",5080754334,3,3,2015-08-09,NA,NA
"418",5085179989,13,13,2015-05-05,NA,NA
"419",5095473176,7,6,2015-08-08,NA,NA
"420",5095473176,7,7,2015-08-14,NA,NA
"421",5108315568,4,4,2014-11-03,NA,NA
"422",5115392371,2,2,2015-08-04,NA,NA
"423",5120292396,1,1,2014-11-04,NA,NA
"424",5123229643,5,5,2015-07-29,NA,NA
"425",5126578428,10,10,2015-08-13,NA,NA
"426",5167938983,7,7,2015-08-06,NA,NA
"427",5174506041,3,3,2015-08-06,NA,NA
"428",5212256963,3,3,2015-07-14,NA,NA
"429",5213679097,1,1,2015-07-28,NA,NA
"430",5217601507,2,2,2015-07-30,NA,NA
"431",5241853297,1,1,2015-03-06,NA,NA
"432",5248964653,1,1,2014-11-07,NA,NA
"433",5253564370,1,1,2015-05-26,NA,NA
"434",5254531566,8,8,2015-08-06,NA,NA
"435",5255086303,10,10,2015-04-30,NA,NA
"436",5275535713,9,9,2015-07-23,NA,NA
"437",5281600996,5,5,2015-06-26,NA,NA
"438",5284029609,2,2,2015-08-16,NA,NA
"439",5309412184,1,1,2014-10-22,NA,NA
"440",5312329083,2,2,2015-08-12,NA,NA
"441",5330295937,5,5,2014-08-05,NA,NA
"442",5334896838,2,2,2014-06-11,NA,NA
"443",5339810676,3,3,2015-08-01,NA,NA
"444",5340508208,9,8,2015-08-01,NA,NA
"445",5340508208,9,9,2015-08-01,NA,NA
"446",5345006498,2,2,2015-02-27,NA,NA
