"","ID","nLoans","Number_of_Loan","Start","Paid","Duration"
"246",1800018025,4,1,2015-06-19,2015-07-03,14
"247",1800018025,4,2,2015-07-03,2015-07-16,13
"248",1800018025,4,3,2015-07-16,2015-08-06,21
"249",1802377828,3,1,2015-06-18,2015-06-30,12
"250",1802377828,3,2,2015-06-30,2015-07-13,13
"251",1810034989,6,1,2015-05-29,2015-06-19,21
"252",1810034989,6,2,2015-06-19,2015-06-26,7
"253",1810034989,6,3,2015-06-27,2015-07-09,12
"254",1810034989,6,4,2015-07-11,2015-07-27,16
"255",1810034989,6,5,2015-07-27,2015-08-17,21
"256",1817487983,20,1,2014-05-21,2014-06-11,21
"257",1817487983,20,2,2014-06-11,2014-07-02,21
"258",1817487983,20,3,2014-07-14,2014-08-02,19
"259",1817487983,20,4,2014-08-05,2014-08-23,18
"260",1817487983,20,5,2014-08-26,2014-09-08,13
"261",1817487983,20,6,2014-09-09,2014-09-30,21
"262",1817487983,20,7,2014-09-30,2014-10-17,17
"263",1817487983,20,8,2014-10-25,2014-11-12,18
"264",1817487983,20,9,2014-11-17,2014-12-08,21
"265",1817487983,20,10,2014-12-15,2015-01-04,20
"266",1817487983,20,11,2015-01-14,2015-01-30,16
"267",1817487983,20,12,2015-02-05,2015-02-24,19
"268",1817487983,20,13,2015-02-24,2015-03-16,20
"269",1817487983,20,14,2015-03-17,2015-04-07,21
"270",1817487983,20,15,2015-04-13,2015-05-04,21
"271",1817487983,20,16,2015-05-08,2015-05-30,22
"272",1817487983,20,17,2015-05-31,2015-06-22,22
"273",1817487983,20,18,2015-06-23,2015-07-11,18
"274",1832279919,2,1,2014-11-13,2014-12-08,25
"275",1838116247,8,1,2015-03-28,2015-04-13,16
"276",1838116247,8,2,2015-04-13,2015-04-20,7
"277",1838116247,8,3,2015-04-20,2015-04-28,8
"278",1838116247,8,4,2015-04-28,2015-05-15,17
"279",1838116247,8,5,2015-05-15,2015-06-05,21
"280",1838116247,8,6,2015-06-30,2015-07-21,21
"281",1838116247,8,7,2015-07-22,2015-08-05,14
"282",1838953053,2,1,2015-07-05,2015-07-24,19
"283",1853627736,3,1,2015-05-27,2015-06-17,21
"284",1853627736,3,2,2015-06-17,2015-07-03,16
"285",1862148446,4,1,2015-05-04,2015-05-25,21
"286",1862148446,4,2,2015-05-26,2015-06-10,15
"287",1862148446,4,3,2015-06-11,2015-07-02,21
"288",1868497628,2,1,2014-11-12,2014-11-25,13
"289",1884909893,3,1,2015-04-22,2015-05-04,12
"290",1884909893,3,2,2015-05-22,2015-06-08,17
"291",1892120669,2,1,2015-06-04,2015-06-26,22
"292",1892120669,2,2,2015-07-08,2015-08-02,25
"293",1907063151,3,1,2015-07-17,2015-07-21,4
"294",1907063151,3,2,2015-07-21,2015-07-26,5
"295",1909028856,7,1,2015-04-14,2015-04-15,1
"296",1909028856,7,2,2015-04-22,2015-05-15,23
"297",1909028856,7,3,2015-05-19,2015-05-19,0
"298",1909028856,7,4,2015-05-19,2015-05-29,10
"299",1909028856,7,5,2015-06-05,2015-07-01,26
"300",1909028856,7,6,2015-07-06,2015-07-15,9
"301",1910843118,2,1,2015-04-14,2015-05-19,35
"302",1921206894,3,1,2015-06-26,2015-07-18,22
"303",1921206894,3,2,2015-07-19,2015-08-09,21
"304",1931231157,4,1,2015-07-17,2015-07-23,6
"305",1931231157,4,2,2015-07-24,2015-07-24,0
"306",1931231157,4,3,2015-07-24,2015-07-29,5
"307",1932568661,4,1,2015-07-07,2015-07-21,14
"308",1932568661,4,2,2015-07-21,2015-08-08,18
"309",1932568661,4,3,2015-08-08,2015-08-18,10
"310",1959560917,2,1,2015-05-25,2015-06-08,14
"311",1975138991,3,1,2015-06-02,2015-07-11,39
"312",1975138991,3,2,2015-07-17,2015-08-06,20
"313",1978413484,1,1,2014-06-12,2014-07-03,21
"314",1983538252,16,1,2014-08-30,2014-09-17,18
"315",1983538252,16,2,2014-09-17,2014-10-02,15
"316",1983538252,16,3,2014-10-02,2014-10-13,11
"317",1983538252,16,4,2014-10-13,2014-10-28,15
"318",1983538252,16,5,2014-10-28,2014-11-12,15
"319",1983538252,16,6,2014-11-12,2014-11-24,12
"320",1983538252,16,7,2014-11-24,2014-12-10,16
"321",1983538252,16,8,2014-12-10,2014-12-24,14
"322",1983538252,16,9,2014-12-25,2015-01-09,15
"323",1983538252,16,10,2015-01-09,2015-01-24,15
"324",1983538252,16,11,2015-01-25,2015-02-09,15
"325",1983538252,16,12,2015-02-09,2015-03-03,22
"326",1983538252,16,13,2015-03-03,2015-03-23,20
"327",1983538252,16,14,2015-03-23,2015-04-09,17
"328",1983538252,16,15,2015-04-09,2015-06-02,54
"329",1987351715,15,1,2015-03-04,2015-03-17,13
"330",1987351715,15,2,2015-03-17,2015-03-25,8
"331",1987351715,15,3,2015-03-25,2015-04-07,13
"332",1987351715,15,4,2015-04-08,2015-04-16,8
"333",1987351715,15,5,2015-04-16,2015-04-23,7
"334",1987351715,15,6,2015-04-23,2015-05-05,12
"335",1987351715,15,7,2015-05-05,2015-05-22,17
"336",1987351715,15,8,2015-05-22,2015-06-06,15
"337",1987351715,15,9,2015-06-06,2015-06-18,12
"338",1987351715,15,10,2015-06-18,2015-06-27,9
"339",1987351715,15,11,2015-06-27,2015-07-14,17
"340",1987351715,15,12,2015-07-14,2015-07-23,9
"341",1987351715,15,13,2015-07-23,2015-08-04,12
"342",1987351715,15,14,2015-08-04,2015-08-19,15
"343",1998097878,8,1,2015-03-24,2015-04-14,21
"344",1998097878,8,2,2015-04-16,2015-05-04,18
"345",1998097878,8,3,2015-05-07,2015-05-19,12
"346",1998097878,8,4,2015-05-19,2015-06-09,21
"347",1998097878,8,5,2015-06-11,2015-07-01,20
"348",1998097878,8,6,2015-07-06,2015-08-01,26
"349",1998097878,8,7,2015-08-01,2015-08-17,16
